,name,price,qty,category
11091,에이치비_우유식빵,2000,100,snack
11092,유라가_티라미수찰떡꼬치,3000,100,snack
11093,피오레_가나슈레이어케익,3200,100,snack
11094,크라운_마이쮸포도용기,3500,100,snack
11095,크라운_마이쮸딸기용기,3500,100,snack
11096,코코_단짝꿍캔디,2000,100,snack
11097,일신_레틀러즈스윗앤사워,1000,100,snack
11098,삼립_저온숙식빵,2600,100,snack
11099,푸드_땅콩크림빵,1500,100,snack
11100,푸드_옥수수크림빵,1500,100,snack
11101,크라운_뽀로로친구들,1500,100,snack
11102,대산_전통강냉이370g,3700,100,snack
11103,대산_전통뻥튀기180g,3700,100,snack
11104,오리온_콰삭칩사워어니언,1500,100,snack
11105,오리온_콰삭칩트러플솔트,1500,100,snack
11106,징코_사과맛카스테라,1200,100,snack
11107,징코_딸기맛카스테라,1200,100,snack
11108,피오_오후의티라미수녹차,3200,100,snack
11109,삼립_촉촉딸기수플레4입,3200,100,snack
11110,롯데_다쿠아즈딸기,1200,100,snack
11111,롯데_다쿠아즈플레인,1200,100,snack
11112,롯데_미니소보로10입,3200,100,snack
11113,롯데_크런키민초볼,1500,100,snack
11114,씨믹_핑크퐁아기상어젤리,2000,100,snack
11115,해태_로봇의탄생,3500,100,snack
11116,오리온_도도한나쵸사워92g,1500,100,snack
11117,오리온_미쯔볼,1200,100,snack
11118,롯데_몽쉘솔티피넛케이크,3000,100,snack
11119,로투_비스코프샌드바닐라,3500,100,snack
11120,로투_비스코프샌드비스코,3500,100,snack
11121,프링글스_이태리포치즈110,3500,100,snack
11122,프링글스_미국남부BBQ110g,3500,100,snack
11123,롯데_얼그레이갸또케이크,3500,100,snack
11124,오리온_당근케익초코파이,2000,100,snack
11125,SCD_수수깡젤리트로피칼,5000,100,snack
11126,삼경_흔한남매냐하젤리,1500,100,snack
11127,푸드_그린피스낵60g,1200,100,snack
11128,오리온_닥터유에너지호두,1200,100,snack
11129,해태_구운짜장,1500,100,snack
11130,징코_매운맛피자빵,1500,100,snack
11131,삼립미각_이즈니버터스콘,2200,100,snack
11132,삼립미각_이즈니버터와플,1500,100,snack
11133,풍림_스위디메이플푸딩,2000,100,snack
11134,풍림_스위디초콜릿푸딩,2000,100,snack
11135,풍림_스위디밀크푸딩,2000,100,snack
11136,푸드_브라우니타르트,3500,100,snack
11137,오리온_와클어니언바게트,1500,100,snack
11138,제이_프로틴칩스오리지널,2000,100,snack
11139,롯데_쌀로뻥쿠아즈인절미,1000,100,snack
11140,삼양_짜짜로니부셔스낵,800,100,snack
11141,해태_고향만두칩김치만두,1500,100,snack
11142,해태_고향만두칩고기만두,1500,100,snack
11143,롯데_자일리톨알파촉촉,6000,100,snack
11144,롯데_자일리톨프로폴리스,6000,100,snack
11145,서주_비건젤리푸룬맛,2000,100,snack
11146,롯데_왓따판박이껌,500,100,snack
11147,애영_민트초코아몬드볼,1800,100,snack
11148,삼경_하리보워터멜론,1800,100,snack
11149,조이_탕종곡물식빵,1700,100,snack
11150,조이_탕종옥수수식빵,1700,100,snack
11151,삼립_오븐카카오파운드,1200,100,snack
11152,신라_옹달잼비스킷8입,6500,100,snack
11153,참조은_쫀득롤케익그린티,3300,100,snack
11154,대두_쑥라떼찰떡2입,1500,100,snack
11155,미성_시크릿쥬쥬롤스티커,3500,100,snack
11156,일신_리콜라애플민트,2000,100,snack
11157,삼경_하리보스윗사워베어,3200,100,snack
11158,SCD_비달메가줌페인터캔디,3500,100,snack
11159,SCD_비달슈퍼팔리피카캔디,3500,100,snack
11160,오리온_포카칩지퍼백,5000,100,snack
11161,오리온_오감자지퍼백,5000,100,snack
11162,오리온_꼬북칩지퍼백,5000,100,snack
11163,크라운_참오곡크래커,1200,100,snack
11164,롯데_도리토스양념치킨맛,1500,100,snack
11165,삼립미각_커피크로와상,2200,100,snack
11166,대두_봄이왔딸기만쥬,1000,100,snack
11167,징코_아몬드브리오슈,1700,100,snack
11168,롯데_명장텐마늘빵,4000,100,snack
11169,롯데_소프트땅콩샌드,1200,100,snack
11170,피오레_오후의티라미수,3200,100,snack
11171,롯데_빈츠카페모카,2400,100,snack
11172,롯데_꼬깔콘찰옥수수맛,1500,100,snack
11173,크라운_미니츄러스초코맛,900,100,snack
11174,롯데_목캔디허니민트,1000,100,snack
11175,롯데_목캔디엑스트라쿨,1000,100,snack
11176,크라운_키커바헤이즐넛,1000,100,snack
11177,오리온_초코파이딸기12입,6000,100,snack
11178,동화_초코츄러스맛뉴짱,1500,100,snack
11179,대두_유자라불러주오만쥬,1000,100,snack
